partner,total_v,total_rows,sanc_v,sanc_rows,sanc_share,post_v,pre_v,growth,exposure_index,iso3
558,55697.648,255,3940.139,131.0,0.07074156883608443,13535.91,55697.648,-0.6759669277237703,0.07074156883608443,NIC
604,816937.027,1115,56305.889,492.0,0.06892316927630213,261029.818,816937.027,-0.5739699073116766,0.06892316927630213,PER
184,37.557,15,2.45,8.0,0.0652341773837101,,37.557,,0.0652341773837101,COK
84,443.88900000000007,46,27.159,29.0,0.06118421497266207,5.294,443.88900000000007,-0.9840981266337605,0.06118421497266207,BLZ
496,319212.8,971,19038.246,536.0,0.059641236191029935,223352.758,319212.8,-0.06706849683554872,0.059641236191029935,MNG
152,3634500.089,768,195539.189,275.0,0.05380084859312821,1258980.827,3634500.089,-0.5381370032849471,0.05380084859312821,CHL
32,3166067.327,1539,147377.16999999998,689.0,0.04654896904534462,841434.557,3166067.327,-0.6456446983615688,0.04654896904534462,ARG
320,128720.587,315,5797.52,175.0,0.04503957086522609,12634.13,128720.587,-0.869131216231428,0.04503957086522609,GTM
262,0.027,2,0.001,1.0,0.037037037037037035,2.261,0.027,110.65432098765433,0.037037037037037035,DJI
308,187.272,13,6.528,4.0,0.03485838779956427,5.888,187.272,-0.958078801600524,0.03485838779956427,GRD
760,9499.927,104,278.015,33.0,0.029264961720232165,,9499.927,,0.029264961720232165,SYR
566,162090.62,228,4268.818,40.0,0.026335996493813154,16312.152999999998,162090.62,-0.8658186554327861,0.026335996493813154,NGA
90,55.753,7,1.442,2.0,0.02586407906301006,,55.753,,0.02586407906301006,SLB
858,554768.432,323,11740.779,97.0,0.021163386960705795,214296.124,554768.432,-0.4849595815983031,0.021163386960705795,URY
275,1157.869,39,14.806000000000001,11.0,0.012787284226453944,337.613,1157.869,-0.6112248737407542,0.012787284226453944,PSE
646,16321.106,42,207.578,11.0,0.012718378276570227,4123.607,16321.106,-0.6631268330303923,0.012718378276570227,RWA
68,36642.554,152,424.727,50.0,0.011591086145359846,52939.007,36642.554,0.9263215840977317,0.011591086145359846,BOL
894,43327.388999999996,91,496.981,46.0,0.01147036577717619,1069.213,43327.388999999996,-0.9670966248777804,0.01147036577717619,ZMB
4,16486.699,117,186.107,68.0,0.011288311868858647,,16486.699,,0.011288311868858647,AFG
404,389671.632,407,3955.999,163.0,0.010152134964754119,147313.421,389671.632,-0.4959399696135266,0.010152134964754119,KEN
716,125612.659,133,1089.0529999999999,16.0,0.008669930313313404,2978.007,125612.659,-0.9683895235431645,0.008669930313313404,ZWE
508,130501.466,164,1049.929,58.0,0.008045342571094183,2135.471,130501.466,-0.9781818951622607,0.008045342571094183,MOZ
242,375.122,22,2.879,5.0,0.007674836453207223,,375.122,,0.007674836453207223,FJI
204,3772.629,22,27.097,6.0,0.0071825244411788175,5406.4,3772.629,0.9107453537926293,0.0071825244411788175,BEN
748,8058.54,144,56.491,67.0,0.0070100787487559785,826.609,8058.54,-0.8632326285737449,0.0070100787487559785,SWZ
598,13378.609,32,85.60900000000001,14.0,0.006398946258164806,1133.19,13378.609,-0.8870644922801765,0.006398946258164806,PNG
768,2219.531,16,14.125,7.0,0.006363957070209878,6603.088,2219.531,2.9666566194990445,0.006363957070209878,TGO
686,21766.865999999998,97,132.225,37.0,0.006074599806880789,28.732,21766.865999999998,-0.9982400161174634,0.006074599806880789,SEN
288,337982.758,179,1870.174,42.0,0.005533341437494277,140492.046,337982.758,-0.44576247288922355,0.005533341437494277,GHA
266,297747.325,75,1555.689,54.0,0.0052248630613222135,0.9950000000000001,297747.325,-0.9999955443204513,0.0052248630613222135,GAB
834,146605.829,174,479.457,37.0,0.0032703815617044804,20665.197,146605.829,-0.8120566133833601,0.0032703815617044804,TZA
384,778755.2119999999,190,1747.36,50.0,0.002243785945923146,95010.246,778755.2119999999,-0.8373297204975881,0.002243785945923146,CIV
624,85.412,6,0.19,3.0,0.0022245117782044676,,85.412,,0.0022245117782044676,GNB
218,4140954.563,489,8051.54,164.0,0.0019443681106626042,2732146.4899999998,4140954.563,-0.12028448241955114,0.0019443681106626042,ECU
238,1923.3950000000002,11,2.401,6.0,0.0012483135289423127,,1923.3950000000002,,0.0012483135289423127,FLK
174,1083.323,8,1.335,2.0,0.001232319446739338,58.91,1083.323,-0.9274946930263027,0.001232319446739338,COM
108,4965.582,30,1.529,14.0,0.0003079195953263887,248.64,4965.582,-0.9332364262638297,0.0003079195953263887,BDI
478,434920.462,81,56.302,25.0,0.00012945355511923465,322.293,434920.462,-0.9990119480743125,0.00012945355511923465,MRT
454,270377.613,71,23.45,23.0,8.673055339089778e-05,9545.697,270377.613,-0.95292659085647,8.673055339089778e-05,MWI
600,2670389.623,126,52.70399999999999,14.0,1.9736445777822735e-05,830176.071,2670389.623,-0.5854906645583531,1.9736445777822735e-05,PRY
304,271397.225,30,3.9170000000000003,5.0,1.4432719420767845e-05,,271397.225,,1.4432719420767845e-05,GRL
585,0.883,2,0.0,0.0,0.0,,0.883,,0.0,PLW
666,0.041,2,0.0,0.0,0.0,,0.041,,0.0,SPM
670,0.577,2,0.0,0.0,0.0,,0.577,,0.0,VCT
