hs6,cg_pre,cg_post,gr_pre,gr_post,cg_change,gr_change
850151,285358.6643333333,343556.0156666667,16201.868333333332,33293.28533333333,0.18560271760405378,0.7201974864691714
850152,627067.7126666666,741040.8466666667,82479.35633333334,162461.57966666666,0.16700097272746994,0.6778875363385364
850153,514613.992,729533.9670000001,31260.45166666667,91924.881,0.34898826691410356,1.0785968486532092
850161,65961.02233333333,60853.545666666665,1751.3533333333335,13598.977666666666,-0.08059263775278325,2.049108504126103
850162,119199.11166666668,177737.53633333332,786.4413333333332,4221.341666666666,0.39950988196980575,1.6793562798756234
850163,16647.497666666666,19824.73833333333,460.84633333333335,2398.039,0.17466102724107557,1.6475912955596677
850164,170450.541,189519.8853333333,1249.8246666666666,5428.471333333333,0.1060481919728371,1.4680387017430725
850211,61191.087666666666,64433.9,24604.637,70705.147,0.051637517119885956,1.055556950930617
850212,49421.263333333336,54166.68333333333,24464.639666666666,63880.51033333334,0.09168348472197074,0.9597602957622886
850213,578722.0263333333,587149.546,47794.60133333333,163282.66633333333,0.014457256179497335,1.2285553595723844
850220,139400.00366666666,186703.464,68229.98366666667,215493.36,0.29217226207304847,1.1500359698610207
850240,12593.403333333335,6945.623,8.116333333333333,49.561333333333344,-0.594996893177326,1.7131194443387652
850300,1014961.051,770597.7333333334,42625.331333333335,53545.35366666666,-0.27543871414969345,0.22807553370713407
850410,28482.871,21744.793,12201.502999999999,5648.618333333333,-0.2699176837130626,-0.7700531033761777
850432,25066.92066666667,27257.409333333333,923.4883333333333,840.848,0.08377310525849424,-0.09364095593277888
850433,39200.170000000006,37741.18366666667,878.8676666666667,2512.5543333333335,-0.03792819422127103,1.0496815821263183
850434,93724.224,59034.52333333334,5846.357,12953.631,-0.46222799947227955,0.7954635661153873
850440,3183615.0443333336,3851571.8433333333,524691.002,700034.2903333333,0.1904639239902668,0.28831932095403445
850450,908573.4863333333,772781.3790000001,19723.410666666667,22382.503,-0.16187939159709153,0.1264672255135313
850511,105676.34733333334,94391.63666666666,35857.795333333335,51066.26499999999,-0.11292749026864257,0.35355481127197486
850519,53344.25966666666,49193.92966666666,14242.787333333334,7767.216,-0.08099455768465269,-0.6062802980534361
850520,104992.38733333333,109224.72133333333,1279.7586666666666,3877.6876666666662,0.0395192085238083,1.108044255499233
850590,285933.01900000003,283368.881,4213.188666666667,5931.3679999999995,-0.009008037144429437,0.341966372987466
